scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
crisis,-0.4,3,-0.5,0.85,0.5,0.05,0.05,0.9933,0.4971135624955699
mild,-0.1,0,-0.1,0.85,0.5,0.08,0.0,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.08,0.0,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.08,0.0,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.08,0.0,0.9933,0.4971129057336655
mild,-0.1,0,-0.1,0.85,0.5,0.08,0.02,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.08,0.02,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.08,0.02,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.08,0.02,0.9933,0.4971134804003318
mild,-0.1,0,-0.1,0.85,0.5,0.08,0.05,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.08,0.05,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.08,0.05,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.08,0.05,0.9933,0.49711434240033125
mild,-0.1,0,-0.1,0.85,0.5,0.12,0.0,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.12,0.0,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.12,0.0,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.12,0.0,0.9933,0.49711393192414105
mild,-0.1,0,-0.1,0.85,0.5,0.12,0.02,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.12,0.02,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.12,0.02,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.12,0.02,0.9933,0.49711452559970576
mild,-0.1,0,-0.1,0.85,0.5,0.12,0.05,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.12,0.05,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.12,0.05,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.12,0.05,0.9933,0.4971271757049202
mild,-0.1,0,-0.1,0.85,0.8,0.05,0.0,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.05,0.0,0.2988,0.06959969642119276
severe,-0.3,2,-0.35,0.85,0.8,0.05,0.0,0.8067,0.16771298435379695
crisis,-0.4,3,-0.5,0.85,0.8,0.05,0.0,0.9933,0.25971328130359816
